タイトル,概要,概要9,pop_score,価格7,価格8,詳細,タグ25
スマイルホテル金沢西口駅前（２０２１年１１月２８日オープン）,4.4,112.0,20.8005064023343,15730,"1名 7,865円～","
 JR金沢駅西口から徒歩4分　全館禁煙、全室個別空調で快適な滞在が可能。　　　　　　朝食バイキングでは、マグロやネギトロ、豊富なトッピングが嬉しい金沢カレーが人気。
 ",空室わずか
天然温泉加賀の湧泉　ドーミーイン金沢,4.4,10211.0,40.61780262479005,18050,"1名 9,025円～","
 【2023年7/27リニューアルOPEN】金沢駅から徒歩2分◆ラウンジ（有料）ではアルコール・ソフトドリンク飲み放題！夜鳴き蕎麦やアイス・乳酸菌などの無料サービスも充実◎朝食「お好み海鮮丼」も好評！
 ",
ホテルリソルトリニティ金沢,4.5,94.0,20.492446012202432,12600,"1名 6,300円～","
 伝統と感性が響き合うホテル。九谷焼の器、加賀手毬の音色、お香やアロマの香り…。 
感性を満たす仕掛けが旅のひとときをやさしく彩ります。金沢の美意識にふれ、私らしく過ごす滞在を。

 ",空室わずか
ホテルマイステイズプレミア金沢,4.5,61.0,18.57210473270291,13600,"1名 6,800円～","
 金沢駅西口徒歩5分の好立地。全室32㎡以上のゆとりある客室にフィットネス・ライブラリーも完備。
館内には能登牛や地魚料理を楽しめるレストラン♪朝食は郷土料理も堪能できるビュッフェにてご提供♪
 ",
ザ・スクエアホテル金沢,4.4,397.0,26.340388823251526,16560,"1名 8,280円～","
 近江町市場徒歩1分！金沢駅と主要観光地も徒歩圏内｜露天風呂＆サウナ完備の大浴場でリラックス。加賀五彩を施した客室にはエアウィーヴも完備。併設カフェでは地元食材にこだわった朝食を。
 ",空室わずか
ホテルビスタ金沢,4.6,689.0,30.068781348919998,19600,"1名 9,800円～","
 客室は独立型水回り（バス・トイレが別々）を採用、男女別大浴場も完備。金沢にお越しの際は、ホテルビスタ金沢で快適な時間をお過ごしください。
 ",空室わずか
ＳＯＫＩ　ＫＡＮＡＺＡＷＡ（２０２２年１１月１９日ＯＰＥＮ）,4.7,83.0,20.824838954563575,17594,"1名 8,797円～","
 金沢駅から徒歩15分。
季節を感じ、土地を味わい、素材を嗜む。無為自然に過ごす旅。
大浴場で思い思いに寛ぎ、湯上りには無料のコーヒー牛乳でRefreshを。
大人気サシェ（香り袋）作り体験もご用意。
 ",あと2部屋
天然温泉　鼓門の湯　スーパーホテルPremier金沢駅東口,4.4,711.0,28.899542810212697,17280,"1名 8,640円～","
 ☆金沢駅から徒歩7分、近江町市場へは徒歩でもバスでもOK☆朝まで入れる天然温泉はｐH8.3の「美人湯」♪加賀の湯でゆったりまったりお過ごしください☆ホテル専用駐車場､駐輪場はございません。
 ",あと2部屋
加賀屋グループ　料理旅館　金沢茶屋,5.0,73.0,21.52032546602085,69300,"1名 34,650円～","
 JR金沢駅兼六園口から徒歩3分。材料から吟味した加賀料理と静かなお部屋でごゆっくりお寛ぎください。
 ",空室わずか
ＫＯＫＯ　ＨＯＴＥＬ　Ｐｒｅｍｉｅｒ　金沢香林坊,4.3,202.0,22.846785709879683,16650,"1名 8,325円～","
 「伝統」と「革新」が共存する金沢香林坊
和風モダンテイストのKOKOブランドPremierが誕生
金沢駅東口より周遊バス「香林坊」下車徒歩１分
加賀百万石の歴史と文化が現代に息づく金沢の旅を、ここから―
 ",あと3部屋
変なホテル金沢　香林坊,4.3,371.0,25.451243573374526,16140,"1名 8,070円～","
 【非対面チェックインですが、24時間スタッフ対応なので安心】
兼六園や金沢21世紀美術館などにも徒歩圏内！
加賀友禅を模したプロジェクションマッピングによるロビー演出など伝統を取り入れた空間♪
 ",空室わずか
三井ガーデンホテル金沢,4.5,396.0,26.927713263092357,24600,"1名 12,300円～","
 「能登豚のしゃぶしゃぶ」や「加賀野菜」が味わえる朝食ビュッフェが人気！
遅く起きた朝は、徒歩約3分の近江町市場でのランチに振替えて「のどぐろ出汁茶漬け」や「能登牛あぶり丼」など味わえます！！
 ",あと3部屋
ホテルマイステイズ金沢片町,4.2,309.0,24.093603649412607,12080,,"
 ＜全室禁煙化＞客室内装リニューアル完了！金沢名物が食べられる繁華街の中心「片町」に位置してます。21世紀美術館まで徒歩約10分、徒歩圏内に日本三名園の一つ「兼六園」、金沢城公園もあり観光にも最適★
 ",
ハイアット　セントリック　金沢,4.9,111.0,23.12064446934596,39216,"1名 19,608円～","
 金沢駅西口から徒歩2分。全室32平米以上の客室、伝統工芸と現代アートが調和する上質な空間で、旬の地元食材を味わえるダイニングを備えた、食と文化を五感で楽しめるフルサービスホテルです。
 ",空室わずか
金沢 東急ホテル,4.5,832.0,30.262651389750793,16200,"1名 8,100円～","
 兼六園、21世紀美術館、武家屋敷、金沢城にも徒歩圏内で観光に抜群の立地！
コンシェルジュ、フロア専用クラブラウンジなど金沢東急ホテルのおもてなしを。
「金沢を満喫できる朝ごはん」も高評価！

 ",空室わずか
Ｔマークシティホテル金沢,4.5,144.0,22.395301840892586,12580,"1名 6,290円～","
 歴史と先端が共存する金沢の観光スポットへアクセス良好。
その中でも特に飲食店が並ぶ繁華街、片町交差点から徒歩1分。
ビジネスや観光のあとは、シーリー社製最上級ベッドで理想的な寝心地をお約束。
 ",あと3部屋
ホテルマイステイズ金沢キャッスル,4.0,182.0,20.837944611365685,14000,"1名 7,000円～","
 金沢駅東口から徒歩5分の好立地。清潔感漂う「和モダン」な館内と客室♪金沢の郷土色豊かな朝食が高評価♪ビジネスにもレジャーにも最適な立地。ファミリーに嬉しいトリプルルームも有。
 ",空室わずか
スマイルホテルプレミアム金沢東口駅前,4.3,105.0,20.052788104681888,13870,"1名 6,935円～","
 【全室禁煙】歴史と伝統を感じさせる「加賀五彩」を基調とした素敵な空間で、金沢でのご滞在をごゆっくりお楽しみください。

ビジネスや観光に是非ご利用くださいませ♪
　
 ",空室わずか
ホテル金沢,4.4,870.0,29.786424698151016,19920,"1名 9,960円～","
 初夏SALE！クーポン開始☆金沢駅から徒歩1分♪夕食朝食とも満足度90点以上！食事付が人気☆加賀五彩も取り入れた客室でお寛ぎください☆当日23時まで予約可◆全プランチェックアウト11時のんびりSTAY♪◆

 ",あと3部屋
東急ステイ金沢,4.7,290.0,26.664619355706016,20944,"1名 10,472円～","
 ◆兼六園や金沢21世紀美術館は徒歩圏内
◆ビジネスや観光での長期滞在でも安心の広々とした客室
◆ドラム式洗濯乾燥機全室完備で急な出張にも便利
◆地元食材を取り入れた朝食

 ",あと3部屋
ホテルルートイン金沢駅前,4.3,1102.0,30.12489278279006,15650,"1名 7,825円～","
 ◆ホテル最上階の展望大浴場からは金沢の景色が一望。
◆メニューは30品目以上のバイキング朝食無料サービス
◆全客室Wi-Fi接続
◆ロビーにてドトールのウェルカムコーヒー
◆金沢駅より徒歩約5分！
 ",空室わずか
金沢の奥座敷・歴代藩主も愛した湯　お宿やました,4.7,233.0,25.6400092421812,55480,"1名 27,740円～","
 7月週末☆平日料金に値下げ★夕食4.8★朝夕お部屋で楽しめる彩ゆたかな会席料理。湯涌温泉の一番奥、竹林を望む静かな宿。24時間入浴可能、Wi-Fi完備≪じゃらんnetランキング（都道府県別）売れた宿受賞≫
 ",空室わずか
ＡＮＡクラウンプラザホテル金沢,4.2,1737.0,31.33405928446642,25540,"1名 12,770円～","
 何よりも満ちたりたひとときをお過ごしいただくために。
便利さと落ち着いた雰囲気が調和した客室空間で、快適なご滞在をお楽しみいただけます。

 ",空室わずか
金沢ニューグランドホテルプレステージ,4.5,548.0,28.386442986792886,18050,"1名 9,025円～","
 尾山神社すぐそば！兼六園、21世紀美術館、近江町市場へも徒歩圏内♪
＜夏休み企画＞7/19～8/31までご宿泊のお子様へアメニティセットプレゼント！（紐付きミニポーチ、歯ブラシ、タオル）


 ",あと3部屋
ホテルウィングインターナショナルプレミアム金沢駅前,4.3,602.0,27.5282439459269,17640,"1名 8,820円～","
 自慢の朝食では、北陸の食材を存分にご堪能いただけます。

【重要】チェックイン時間は15:00～24:00となりますので、24:00までにお手続きをお済ませいただきますようお願いいたします。
 ",あと1部屋
KUMU 金沢 by THE SHARE HOTELS,4.6,171.0,23.678474593341882,39998,"1名 19,999円～","
 ｜金沢の伝統を汲む場所｜金沢の街に色濃く残る禅や茶の湯などの伝統文化を、この街の今を担う作家やアーティストらと共に未来につなぐライフスタイルホテル。市内中心部に位置し観光の拠点にも最適です。
 ",あと3部屋
ＡＮＡホリデイ・イン金沢スカイ,4.2,869.0,28.427671488924247,21220,"1名 10,610円～","
 さまざまな表情を魅せる金澤の街並みを一望できるホテルです
近江町市場目の前！
ひがし茶屋街や金沢城公園へ徒歩圏内
雨に濡れずにホテルへ繋がる提携駐車場も完備




 ",空室わずか
ガーデンホテル金沢,4.1,99.0,18.881197762551174,11000,"1名 5,500円～","
 金沢駅兼六園口（東口）から徒歩１分！金沢が初めての方でも迷わずご来館頂けます。Ｃ/I前やＣ/Ｏ後もお荷物をお預かりしておりますので、身軽になってお仕事・観光にお出掛け下さい♪朝カレーが大好評！！
 ",あと3部屋
天然温泉リラックスパーク　テルメ金沢,4.1,535.0,25.764950060390287,23940,"1名 11,970円～","
 金沢西ICすぐ！北陸最大級の泊まれる天然温泉パーク♪サウナにマッサージ、カフェやお食事処も充実！無料駐車場1000台完備
 ",あと1部屋
まごころ伝える小さなお宿 北陸金沢の創作加賀会席 旅館 橋本屋,4.4,377.0,26.11353446072619,33840,"1名 16,920円～","
 【和洋室新設！】温かいおもてなしと能登北陸の食材のど黒・能登牛・鮑・加能蟹を使った絶品料理や治部煮を楽しめる旅館。地元の食通たちにも愛され社長自らが板長を務めるアットホームな雰囲気が魅力です

 ",あと3部屋
アパホテル〈金沢西〉,3.9,1520.0,28.57578083981124,12240,"1名 6,120円～","
 普通車 無料平面駐車場100台あり、出し入れ自由（先着順）
（バイクの駐車も普通車と同じ区画にご案内）
石川県産業展示館（4号館）まで徒歩5分、石川県立野球場まで徒歩8分、
最寄りコンビニまで徒歩3分
 ",あと2部屋
アパホテル〈金沢片町〉,4.0,1382.0,28.928041326659034,11160,"1名 5,580円～","
 兼六園・金沢城公園・にし茶屋街・21世紀美術館・本多の森北電ホール徒歩圏内、周辺飲食店多数、無料ネット環境（Wi-Fi＆有線LAN）、動画キャスト機能付き大型スマート液晶TV、コインランドリー完備
 ",あと3部屋
天然温泉金沢ゆめのゆ,4.0,444.0,24.39229712866496,27000,"1名 13,500円～","
 天然温泉と高濃度炭酸泉が人気。健康ランド併設ホテルで、健康ランドはチェックインの前から利用可能。金沢駅より無料シャトルバス運行中。1400台収容の無料駐車場あり。和・洋・中の他、インド料理が人気。
 ",あと2部屋
エイトポイントイン金沢,4.1,99.0,18.881197762551174,25650,"1名 12,825円～","
 兼六園・金沢城はもちろん、金沢随一の繁華街「片町」にも近く、お気軽にステイできるスマートホテル。
女性専用キャビンやシャワールームもございますので、女性の方も安心してご宿泊いただけます。
 ",あと1部屋
ファーストホテル金沢（2020年3月10日オープン）,4.2,116.0,20.00113052615058,24700,"1名 12,350円～","
 金沢21世紀美術館真横！！
兼六園など主要な観光地も徒歩圏内、金沢観光のベストロケーション。
朝、夕食共に金沢らしさを楽しめると大好評！
１名様からご家族までゆったりと寛げるお部屋を多数ご用意。
 ",空室わずか
アパホテル〈金沢野町〉,3.9,962.0,26.79320830601269,12000,"1名 6,000円～","
 機能的な客室と充実した設備が魅力。ビジネスや観光の拠点に
 ",空室わずか
HOTEL AO KANAZAWA,0.0,0.0,0.0,38760,"1名 19,380円～","
 兼六園まで徒歩3分、石川門を臨む全15室の「HOTEL AO KANAZAWA」
食の宝庫、金沢の恵みを心ゆくまで味わい、心地よくゆったりと眠りにつく―
〈土地の食＋ステイ〉で自分の余白をつくる贅沢な時間を。

 ",あと1部屋
ARIGATO STAY金沢駅前（旧ホテルトレンド金沢駅前）,4.0,228.0,21.73488801421696,12100,"1名 6,050円～","
 宿泊代に宿泊税が含まれております！☆JR金沢駅・西口徒歩4分★兼六園や金沢城など金沢の名所にアクセス抜群！
 ",空室わずか
金沢ニューグランドホテルプレミア,4.0,249.0,22.085843671448984,17100,"1名 8,550円～","
 鼠多門や鼠多門橋のライトアップまで徒歩圏内♪
＜夏休み企画＞7/19～8/31までご宿泊のお子様へアメニティセットプレゼント！（紐付きミニポーチ、歯ブラシ、タオル）
 ",あと3部屋
Tabist ビジネスホテルRサイド 金沢,4.3,8.0,9.448065682545744,18050,"1名 9,025円～","
 金沢駅東口バス停から【城下まち金沢周遊バス】のご利用で
兼六園・21世紀美術館・近江町市場とおトクに金沢巡りを満喫できます。
家族経営の小さなお宿ですが真心のおもてなしでお迎えいたします。
 ",あと1部屋
ダイアパレス大手門,0.0,0.0,0.0,16370,"1名 8,185円～","
 金沢城、兼六園、近江町市場、ひがし茶屋街、21世紀美術館など金沢の観光スポットに囲まれ、金沢駅、繁華街へのアクセスも良好！ここを拠点に金沢観光を楽しみませんか？部屋タイプ多数！連泊にもおすすめ！
 ",あと1部屋
アパホテル〈金沢片町〉EXCELLENT,3.9,730.0,25.718212493024133,15400,"1名 7,700円～","
 ドルチェグスト・加湿空気清浄機・電子レンジ・クローゼット・ズボンプレッサー・Wi-Fi完備｜兼六園・金沢城公園・21世紀美術館等主要観光地徒歩圏内
 ",
四季の彩アパートメントホテル金沢,0.0,0.0,0.0,26460,"1名 13,230円～","
 「金沢で暮らすように旅する」をコンセプトに無人ホテルでプライベートな時間をご提供します。
全室キッチン、家電を完備。女子旅やご家族でのご旅行にも快適にお過ごしいただけます。
 ",あと3部屋
ホテルリブマックス金沢駅前,3.8,14.0,10.290590764188398,13600,"1名 6,800円～","
 ■ホテルリブマックス金沢駅前■【金沢駅徒歩約10分】♪Wi-Fi完備♪加湿機能付空気清浄機・電子レンジなど充実のルームアイテム♪
 ",空室わずか
